"All.relevant","Promoter","exon","intron","3' UTR"
"48","7","3","36","2"
"33","4","2","26","1"
"68.8%","57.1%","66.7%","72.2%","50%"
"0.19935963269498%","0.0241648039630279%","0.0120824019815139%","0.157071225759681%","0.00604120099075696%"
"2.67161157663831e-06","/","/","/","/"
"/","0.874986554224125","0.773358001850139","0.289827450256966","0.906914893617021"
"-0.355967911838587","-0.8","1","-0.15965811965812","/"
"0.021215598789646","0.333333333333333","1","0.43420970987472","/"
"0.83163737280296","/","/","/","/"
"-0.0123073466387475","/","/","/","/"
"0.933833054875281","/","/","/","/"
"0.0516908558827396","/","/","/","/"
"0.727150803612157","/","/","/","/"
